regime,var_below_mode8,control_vrmse,conditioned_vrmse,relative_change_pct,spearman_rho
spots,0.006047419328333118,0.018057453135649364,0.018048772898813088,-0.048070105850861466,-0.2
maze,0.01332565621051718,0.030308494344353676,0.03030378185212612,-0.015548420762878656,-0.2
worms,0.3091282041896603,0.03536104162534078,0.03535890951752663,-0.006029539052454513,-0.2
bubbles,0.5826946762631876,0.041844638685385384,0.042001200218995415,0.3741495649828952,-0.2
gliders,0.6897086167333977,0.02314865030348301,0.02314494363963604,-0.01601244045926764,-0.2
spirals,0.7740035570778397,0.04003859187165896,0.04001836602886518,-0.050515869435696636,-0.2
