arm,n_seeds,params,harmonic_modes,test_vrmse_mean,test_vrmse_std,vrmse_bubbles_mean,vrmse_bubbles_std,vrmse_gliders_mean,vrmse_gliders_std,vrmse_maze_mean,vrmse_maze_std,vrmse_spirals_mean,vrmse_spirals_std,vrmse_spots_mean,vrmse_spots_std,vrmse_worms_mean,vrmse_worms_std
control,3,7490,0,0.03215251552561919,0.0054628784812765525,0.041844638685385384,0.0021011177286288096,0.02314865030348301,0.009166642762003373,0.030308494344353676,0.0076951437862002045,0.04003859187165896,0.009052796620256875,0.018057453135649364,0.007389811902638189,0.03536104162534078,0.0034016857977644424
conditioned,3,7710,220,0.0321815957625707,0.0054493638380854765,0.042001200218995415,0.002017618326953959,0.02314494363963604,0.009163189007166554,0.03030378185212612,0.007674395838620659,0.04001836602886518,0.00903088392803934,0.018048772898813088,0.00738337016709251,0.03535890951752663,0.0033644462843290916
