arm,seed,params,harmonic_modes,shells,epochs,train_s,test_vrmse,vrmse_bubbles,vrmse_gliders,vrmse_maze,vrmse_spirals,vrmse_spots,vrmse_worms
control,0,7490,0,[],100,462.0,0.029656536877155304,0.039528846740722656,0.018870892003178596,0.02841104008257389,0.037983234971761703,0.012409436516463757,0.034945666790008545
conditioned,0,7710,220,"[4.0, 8.0, 12.0]",100,476.4,0.02972719818353653,0.03981770947575569,0.018869325518608093,0.02840072102844715,0.03796070069074631,0.012398596853017807,0.034990765154361725
control,1,7490,0,[],100,460.8,0.028383472934365273,0.042376015335321426,0.016902845352888107,0.02373957633972168,0.032190192490816116,0.015342124737799168,0.0321861170232296
conditioned,1,7710,220,"[4.0, 8.0, 12.0]",100,476.3,0.028391074389219284,0.042389340698719025,0.01690102554857731,0.02375997230410576,0.032193873077631,0.015344775281846523,0.03219367563724518
control,2,7490,0,[],100,460.8,0.03841753676533699,0.043629053980112076,0.033672213554382324,0.03877486661076546,0.04994234815239906,0.026420798152685165,0.038951341062784195
conditioned,2,7710,220,"[4.0, 8.0, 12.0]",100,475.7,0.038426514714956284,0.04379655048251152,0.03366447985172272,0.038750652223825455,0.04990052431821823,0.026402946561574936,0.03889228776097298
