arm,snr_db,vrmse
cnn,40,0.019610169722493423
cnn,30,0.04204233862080817
cnn,20,0.14821363429901963
cnn,10,0.5767856927241309
cnn,5,0.9189560564897828
cnn,0,1.382171459117178
litefno_real,40,0.018269860643451496
litefno_real,30,0.04341581943681685
litefno_real,20,0.15211483659380573
litefno_real,10,0.5608900906675953
litefno_real,5,0.8384317695084265
litefno_real,0,1.16258159734435
