arm,retained_frac,vrmse
cnn,1.0,0.0711807981133461
cnn,0.75,0.18737424708018868
cnn,0.5,0.3220322311429654
cnn,0.25,0.45899048952733057
cnn,0.1,0.5316566981501498
cnn,0.05,0.5568073048429975
litefno_real,1.0,0.0792141182947967
litefno_real,0.75,0.1942849272893647
litefno_real,0.5,0.31431345919431264
litefno_real,0.25,0.43271856489828076
litefno_real,0.1,0.5023680384886466
litefno_real,0.05,0.5258158687817849
