unbounded_fraction,alpha,exponent,coalition_size,kappa,truthful_share,capture_ratio,capture_ratio_formula,budget_captured,budget_captured_solo_sum,superadditive,outsider_loss,welfare_loss
0.6041666666666666,0.0,inf,1,1.5,0.3541666666666667,1.0,nan,0.6041666666666666,0.6041666666666666,False,0.9583333333333334,0.09510105809740808
0.6458333333333334,0.0,inf,2,1.5,0.3541666666666667,1.0,nan,0.6458333333333334,1.5208333333333333,False,1.0,0.03868010022316327
0.6458333333333334,0.0,inf,3,1.5,0.3541666666666667,1.0,nan,0.6458333333333334,2.4166666666666665,False,1.0,0.03662193670899123
0.6041666666666666,0.0,inf,4,1.5,0.3958333333333333,1.0,nan,0.6041666666666666,3.2291666666666665,False,1.0,0.024119983470905687
0.5625,0.0,inf,5,1.5,0.4375,1.0,nan,0.5625,4.166666666666667,False,1.0,0.023732439895335255
0.5416666666666666,0.0,inf,6,1.5,0.4583333333333333,1.0,nan,0.5416666666666666,5.0,False,1.0,0.010762801712781996
0.22916666666666666,0.0,inf,7,1.5,0.7708333333333334,1.0,nan,0.22916666666666666,5.666666666666667,False,1.0,0.0035510637843348242
0.14583333333333334,0.0,inf,8,1.5,0.8541666666666666,1.0,nan,0.14583333333333334,6.354166666666667,False,1.0,0.0033401842676885666
0.125,0.0,inf,9,1.5,0.875,1.0,nan,0.125,7.333333333333333,False,1.0,0.0031230113993351225
0.125,0.0,inf,10,1.5,0.875,1.0,nan,0.125,8.166666666666666,False,1.0,0.0014612378379406654
0.08333333333333333,0.0,inf,11,1.5,0.9166666666666666,1.0,nan,0.08333333333333333,9.125,False,1.0,0.0008362874499837358
0.0625,0.0,inf,12,1.5,0.9375,1.0,nan,0.0625,10.0625,False,1.0,0.000780132016938273
0.041666666666666664,0.0,inf,13,1.5,0.9583333333333334,1.0,nan,0.041666666666666664,11.0,False,1.0,0.0007201046694976163
0.041666666666666664,0.0,inf,14,1.5,0.9583333333333334,1.0,nan,0.041666666666666664,12.0,False,1.0,0.0007201046694976163
0.020833333333333332,0.0,inf,15,1.5,0.9791666666666666,1.0,nan,0.020833333333333332,12.770833333333334,False,1.0,0.0006980262954206831
0.0,0.0,inf,16,1.5,1.0,1.0,nan,0.0,13.583333333333334,False,0.0,0.0
0.0,0.25,3.0,1,1.5,0.036369274698638286,3.108520073157468,3.108520073157468,0.07583279976137502,0.07583279976137502,False,0.07895701536075007,0.012268581408480528
0.0,0.25,3.0,2,1.5,0.0746922843718039,2.872330413797613,2.872330413797613,0.13695806771341182,0.15528119454335093,False,0.14893913665255917,0.02192881989170391
0.0,0.25,3.0,3,1.5,0.11688095571927269,2.651250344135613,2.651250344135613,0.18785574148678505,0.24187482417035788,False,0.2144443424783369,0.029759505165004984
0.0,0.25,3.0,4,1.5,0.1633715755170655,2.444140153196106,2.444140153196106,0.2285694126108898,0.33606845197788,False,0.2758103249789315,0.035807749207429775
0.0,0.25,3.0,5,1.5,0.21214269198670724,2.2589015887650765,2.2589015887650765,0.25779348116483947,0.4342973217527035,False,0.3306958255510884,0.03993756775239102
0.0,0.25,3.0,6,1.5,0.2638325250667755,2.0905032418783223,2.0905032418783223,0.2770082151949836,0.5375594546276435,False,0.3805916320360527,0.042430541633943636
0.0,0.25,3.0,7,1.5,0.317063033967447,1.941298655167743,1.941298655167743,0.28660069017245066,0.643449989343726,False,0.42480039846881684,0.04341019291982968
0.0,0.25,3.0,8,1.5,0.3725288837461059,1.8062758942395305,1.8062758942395305,0.2879865292056707,0.753132795192522,False,0.46480714244754645,0.04313294923330226
0.0,0.25,3.0,9,1.5,0.43085841574882716,1.6828063478101338,1.6828063478101338,0.2816441746469059,0.867504778457732,False,0.5013907117599604,0.04170543429232354
0.0,0.25,3.0,10,1.5,0.4952173884892856,1.5623791159041842,1.562379115904184,0.2679914048142158,0.991502950228008,False,0.5370728545469083,0.03919926110512354
0.0,0.25,3.0,11,1.5,0.5642823729510721,1.4504660858669969,1.4504660858669969,0.24604769615756092,1.1225270702076766,False,0.5702322708542232,0.035527546480259284
0.0,0.25,3.0,12,1.5,0.6410471003044867,1.3430107757915273,1.3430107757915273,0.2145273098885544,1.2643639537558828,False,0.6020708812469548,0.030540042855993915
0.0,0.25,3.0,13,1.5,0.7241469702426745,1.2435092043934264,1.2435092043934264,0.17332283843377747,1.4145535693621347,False,0.6315528283278736,0.024306698476992156
0.0,0.25,3.0,14,1.5,0.8107168599939274,1.1549120087046552,1.1549120087046552,0.12405703107779677,1.569370685993097,False,0.6578038492726948,0.01713783076931831
