system,weights,ky,kx,radius,extracted_magnitude,extracted_freq,label,exact_magnitude,exact_freq,magnitude_error,freq_error
rotating,trained,-6,0,6.0,0.8392911748912399,0.023686848089772134,damped,0.8704096536513517,0.0238732414637843,-0.031118478760111756,-0.00018639337401216496
rotating,trained,-5,0,5.0,0.896665173747131,0.024131339955638615,damped,0.9081162722143948,0.0238732414637843,-0.011451098467263887,0.00025809849185431596
rotating,trained,-5,1,5.0990195135927845,0.8392099793013009,0.023689868822657084,damped,0.9046219388421827,0.023873241463784306,-0.06541195954088175,-0.00018337264112722185
rotating,trained,-5,2,5.385164807134504,0.8392483387905595,0.023702549541241968,damped,0.8942194068777493,0.023873241463784306,-0.05497106808718977,-0.00017069192254233825
rotating,trained,-5,3,5.830951894845301,0.8392895862213674,0.023702766006642395,damped,0.8771470002880658,0.0238732414637843,-0.0378574140666984,-0.00017047545714190399
rotating,trained,-4,0,4.0,0.9399939969150616,0.0237202400075872,damped,0.9401789706739411,0.0238732414637843,-0.00018497375887949197,-0.00015300145619710076
rotating,trained,-4,1,4.123105625617661,0.9325053195014218,0.023921060341512902,damped,0.9365612634996526,0.023873241463784296,-0.004055943998230838,4.781887772860663e-05
rotating,trained,-4,2,4.47213595499958,0.9218191387993341,0.02370829015323185,damped,0.9257914512036179,0.023873241463784306,-0.003972312404283862,-0.00016495131055245527
rotating,trained,-4,3,5.0,0.9052497391348691,0.023661331358797517,damped,0.9081162722143948,0.0238732414637843,-0.0028665330795257793,-0.00021191010498678234
rotating,trained,-4,4,5.656854249492381,0.8822195128474554,0.023589893025128074,damped,0.8839364968975113,0.023873241463784306,-0.0017169840500559364,-0.0002833484386562321
rotating,trained,-3,0,3.0,0.9623841010975036,0.02379178301175851,damped,0.9658972392920434,0.023873241463784306,-0.0035131381945398,-8.14584520257948e-05
rotating,trained,-3,1,3.1622776601683795,0.9576873085426453,0.02367372106860408,damped,0.9621805709967428,0.023873241463784306,-0.004493262454097535,-0.000199520395180227
rotating,trained,-3,2,3.605551275463989,0.9478131286793792,0.02358772374005857,damped,0.9511161542325851,0.0238732414637843,-0.0033030255532059405,-0.0002855177237257277
