ray,distance,dose,frac_of_model,n_seeds,scratch,finetune,transplant_all,resonant,damped,gap_rel,gap_rel_sd,resonant_wins,finetune_vs_scratch,all_vs_scratch
diffuse,0.0,1,0.01182,3,0.07230614125728607,0.01349168581267198,0.06500231722990672,0.07036250332991283,0.07162994394699733,0.017706124162068623,0.003429732204900476,3,0.8134088532720246,0.10101249908206607
diffuse,0.0,2,0.02364,3,0.07230614125728607,0.01349168581267198,0.06500231722990672,0.06945821394522984,0.07082859923442204,0.019453225631652596,0.0022148645285253823,3,0.8134088532720246,0.10101249908206607
diffuse,0.0,3,0.03546000000000001,3,0.07230614125728607,0.01349168581267198,0.06500231722990672,0.06849617759386699,0.070306030412515,0.026159898190034236,0.005468891715102723,3,0.8134088532720246,0.10101249908206607
diffuse,0.25,1,0.01182,3,0.08049007505178452,0.015192634736498197,0.07230087369680405,0.07830192645390828,0.079717551668485,0.017820093082822192,0.0020637156505655856,3,0.8112483467468035,0.10174175324984877
diffuse,0.25,2,0.02364,3,0.08049007505178452,0.015192634736498197,0.07230087369680405,0.07738582044839859,0.07885959992806117,0.01880931766146722,0.0017850091751967596,3,0.8112483467468035,0.10174175324984877
diffuse,0.25,3,0.03546000000000001,3,0.08049007505178452,0.015192634736498197,0.07230087369680405,0.07634828488032024,0.07830427587032318,0.025410775814637725,0.006184875614182452,3,0.8112483467468035,0.10174175324984877
diffuse,0.5,1,0.01182,3,0.08959806213776271,0.017173511286576588,0.08098326375087102,0.0872694303592046,0.08877107749382655,0.016912353028457203,0.0013955933972565665,3,0.8083272017627879,0.09614938293694224
diffuse,0.5,2,0.02364,3,0.08959806213776271,0.017173511286576588,0.08098326375087102,0.0864813302954038,0.08794979254404704,0.016678200477583335,0.0003760971736197145,3,0.8083272017627879,0.09614938293694224
diffuse,0.5,3,0.03546000000000001,3,0.08959806213776271,0.017173511286576588,0.08098326375087102,0.08537937452395757,0.08738468587398529,0.02322987172974511,0.004748733954908013,3,0.8083272017627879,0.09614938293694224
diffuse,1.0,1,0.01182,3,0.11085304121176402,0.02207795778910319,0.10169133047262828,0.1081923320889473,0.10998388131459554,0.01607332647300638,0.003211105001257145,3,0.8008357953217776,0.08264735580536763
diffuse,1.0,2,0.02364,3,0.11085304121176402,0.02207795778910319,0.10169133047262828,0.10755270471175511,0.10932923605044682,0.016013763345189762,0.0036916037468296263,3,0.8008357953217776,0.08264735580536763
diffuse,1.0,3,0.03546000000000001,3,0.11085304121176402,0.02207795778910319,0.10169133047262828,0.10658646623293559,0.1086004301905632,0.018189379732867543,0.006884635203099006,3,0.8008357953217776,0.08264735580536763
diffuse,1.75,1,0.01182,3,0.1484156847000122,0.033070302257935204,0.1436620553334554,0.14643925925095877,0.14868345856666565,0.014880698400709205,0.003564864409450892,3,0.777177847982987,0.032029157674036614
diffuse,1.75,2,0.02364,3,0.1484156847000122,0.033070302257935204,0.1436620553334554,0.1464429795742035,0.14837967852751413,0.013272012287017408,0.0077586247412261,3,0.777177847982987,0.032029157674036614
diffuse,1.75,3,0.03546000000000001,3,0.1484156847000122,0.033070302257935204,0.1436620553334554,0.14499814808368683,0.14885256687800089,0.026269025758168446,0.010181556297740632,3,0.777177847982987,0.032029157674036614
sharp,0.0,1,0.01182,3,0.07230614125728607,0.01349168581267198,0.06500231722990672,0.07036250332991283,0.07162994394699733,0.017706124162068623,0.003429732204900476,3,0.8134088532720246,0.10101249908206607
sharp,0.0,2,0.02364,3,0.07230614125728607,0.01349168581267198,0.06500231722990672,0.06945821394522984,0.07082859923442204,0.019453225631652596,0.0022148645285253823,3,0.8134088532720246,0.10101249908206607
sharp,0.0,3,0.03546000000000001,3,0.07230614125728607,0.01349168581267198,0.06500231722990672,0.06849617759386699,0.070306030412515,0.026159898190034236,0.005468891715102723,3,0.8134088532720246,0.10101249908206607
sharp,0.25,1,0.01182,3,0.06493685021996498,0.012041882301370302,0.058427900075912476,0.06318218012650807,0.0643428402642409,0.018187723227360064,0.00433222099765975,3,0.8145601109296182,0.10023507641661551
sharp,0.25,2,0.02364,3,0.06493685021996498,0.012041882301370302,0.058427900075912476,0.06231937309106191,0.06360102072358131,0.020467072155763943,0.0045821823790563,3,0.8145601109296182,0.10023507641661551
sharp,0.25,3,0.03546000000000001,3,0.06493685021996498,0.012041882301370302,0.058427900075912476,0.06143874675035477,0.06316387032469113,0.02797316086435785,0.008613577840330629,3,0.8145601109296182,0.10023507641661551
sharp,0.5,1,0.01182,3,0.05940878515442213,0.010787400106588999,0.05367189645767212,0.05783106635014216,0.05888816217581431,0.018298704983973655,0.005507688701608074,3,0.8184207928415107,0.09656633580097672
sharp,0.5,2,0.02364,3,0.05940878515442213,0.010787400106588999,0.05367189645767212,0.05703079700469971,0.05822397768497467,0.021119039556523948,0.007189017029895501,3,0.8184207928415107,0.09656633580097672
