size,policy,modes,n_seeds,cnn,cnn_sd,litefno,fno_s,best_spectral,gap_rel,spectral_wins
32,repo,16,2,0.04341127537190914,0.0026780981570482254,0.037861499935388565,0.05951223336160183,litefno,0.1278417966064126,1
64,repo,16,2,0.04255200922489166,0.004148803651332855,0.03938269428908825,0.06327443197369576,litefno,0.07448097031219522,1
128,repo,16,2,0.05046020820736885,2.341344952583313e-05,0.041214749217033386,0.06641792133450508,litefno,0.1832227673802052,1
