target,budget,n_seeds,scratch_vrmse,scratch_sd,finetune_vrmse,finetune_sd,transplant_resonant_vrmse,transplant_resonant_sd,transplant_damped_vrmse,transplant_damped_sd,asymmetry,asymmetry_over_sd,resonant_vs_scratch
slow_diffuse,2,1,0.96604,0.0,0.69122,0.0,0.96601,0.0,0.966,0.0,-1e-05,nan,3e-05
slow_diffuse,8,1,0.92283,0.0,0.58208,0.0,0.92278,0.0,0.92275,0.0,-2e-05,nan,6e-05
fast_sharp,2,1,0.97166,0.0,0.72419,0.0,0.97164,0.0,0.97163,0.0,-1e-05,nan,2e-05
fast_sharp,8,1,0.93362,0.0,0.6268,0.0,0.93356,0.0,0.93355,0.0,-1e-05,nan,5e-05
