held_out,held_out_vrmse,seen_vrmse,gap_ratio,gap_absolute,n_train_traj,n_held_pairs,n_seen_pairs,epochs,seed,factorization,train_s
spirals,0.09208559989929199,0.04442785307765007,2.0726997484741547,0.04765774682164192,20,118,590,30,0,cp,149.3
bubbles,0.08778781443834305,0.046849269419908524,1.873835291891185,0.040938545018434525,20,118,590,30,0,cp,141.9
gliders,0.05085308849811554,0.05191710218787193,0.979505526215503,-0.0010640136897563934,20,118,590,30,0,cp,287.9
worms,0.047823164612054825,0.0493994802236557,0.9680904413474773,-0.0015763156116008759,20,118,590,30,0,cp,147.6
maze,0.044536564499139786,0.04945047199726105,0.9006297149520952,-0.004913907498121262,20,118,590,30,0,cp,300.6
spots,0.028279393911361694,0.050342023372650146,0.5617452779366303,-0.022062629461288452,20,118,590,30,0,cp,156.6
