n_traj,harmonic_vrmse,status,multiplier,equivalent_n
6,0.09229600926240285,out_of_range_low,nan,nan
12,0.06879080086946487,ok,0.9984763527638284,11.98171623316594
18,0.052033898731072746,ok,0.9991332464305422,17.98439843574976
24,0.045312112818161644,ok,0.9988539865892695,23.97249567814247
