n_traj,n_seeds,plain_mean,plain_std,harmonic_mean,harmonic_std,paired_diff_mean,paired_diff_std,rel_change,n_seeds_helped,exceeds_seed_spread
6,3,0.09221138805150986,0.0018564989391552517,0.09229600926240285,0.0018794209706105183,8.46212108929952e-05,3.403568980557775e-05,0.0009176872041631697,0,False
12,3,0.06873916586240132,0.004284098039934113,0.06879080086946487,0.004278133950636965,5.163500706354777e-05,5.974524318326222e-06,0.0007511730236428557,0,False
18,3,0.05199809620777766,0.002395372539359975,0.052033898731072746,0.0024147428453925265,3.580252329508463e-05,2.3274745315918013e-05,0.0006885352715996061,0,False
24,3,0.04528535654147466,0.0018887844385318256,0.045312112818161644,0.0018899590288067086,2.6756276686986286e-05,1.2199869141779067e-06,0.000590837275676112,0,False
