regime,var_below_mode8,plain,harmonic,change
spirals,0.7740035570778397,0.08795817941427231,0.08797399699687958,0.0001798307185596737
gliders,0.6897086167333977,0.043966345489025116,0.04399067908525467,0.0005534596054981958
bubbles,0.5826946762631876,0.04763558506965637,0.04771428555250168,0.0016521363751536707
worms,0.3091282041896603,0.035635631531476974,0.035674892365932465,0.0011017297229827677
maze,0.01332565621051718,0.03878386318683624,0.038761869072914124,-0.000567094459264291
spots,0.006047419328333118,0.02835153415799141,0.028371769934892654,0.0007137453934055024
