held_out,arm,baseline_gap,arm_gap,frac_gap_closed,baseline_held_vrmse,arm_held_vrmse,held_vrmse_delta,baseline_seen_vrmse,arm_seen_vrmse,seen_vrmse_delta,real_improvement
bubbles,robust,1.873835291891185,1.8026369278246483,0.08147801390860121,0.08778781443834305,0.08466151356697083,-0.003126300871372223,0.046849269419908524,0.04696537181735039,0.00011610239744186401,True
bubbles,robust+unc,1.873835291891185,1.993764170425518,-0.1372442606143531,0.08778781443834305,0.09037888795137405,0.002591073513031006,0.046849269419908524,0.04533078148961067,-0.0015184879302978516,False
gliders,robust,0.979505526215503,1.0304696933465873,nan,0.05085308849811554,0.05050433427095413,-0.00034875422716140747,0.05191710218787193,0.0490109845995903,-0.0029061175882816315,True
gliders,robust+unc,0.979505526215503,1.1150568323573793,nan,0.05085308849811554,0.057857412844896317,0.007004324346780777,0.05191710218787193,0.05188741162419319,-2.9690563678741455e-05,False
maze,robust,0.9006297149520952,0.9455600211403967,nan,0.044536564499139786,0.04584810510277748,0.0013115406036376953,0.04945047199726105,0.04848777875304222,-0.0009626932442188263,False
maze,robust+unc,0.9006297149520952,0.9631066909785098,nan,0.044536564499139786,0.050823312252759933,0.006286747753620148,0.04945047199726105,0.05277017876505852,0.00331970676779747,False
spirals,robust,2.0726997484741547,2.109780588869484,-0.03456777206117033,0.09208559989929199,0.09784673154354095,0.005761131644248962,0.04442785307765007,0.04637768119573593,0.0019498281180858612,False
spirals,robust+unc,2.0726997484741547,2.2975983700513987,-0.209656636814866,0.09208559989929199,0.10045376420021057,0.008368164300918579,0.04442785307765007,0.04372120276093483,-0.0007066503167152405,False
spots,robust,0.5617452779366303,0.599323109225735,nan,0.028279393911361694,0.030185913667082787,0.0019065197557210922,0.050342023372650146,0.05036667734384537,2.4653971195220947e-05,False
spots,robust+unc,0.5617452779366303,0.5755899272034986,nan,0.028279393911361694,0.02992919087409973,0.0016497969627380371,0.050342023372650146,0.05199741944670677,0.0016553960740566254,False
worms,robust,0.9680904413474773,0.8506774265305986,nan,0.047823164612054825,0.04259578511118889,-0.005227379500865936,0.0493994802236557,0.05007278174161911,0.0006733015179634094,True
worms,robust+unc,0.9680904413474773,0.8234717773091773,nan,0.047823164612054825,0.04290982708334923,-0.004913337528705597,0.0493994802236557,0.052108436822891235,0.0027089565992355347,True
