held_out,split,rescaled,scale,nominal,observed,signed_gap,abs_gap
bubbles,seen,False,1.0,0.05,0.040874106197033896,-0.009125893802966106,0.009125893802966106
bubbles,seen,False,1.0,0.1,0.08272146451271187,-0.017278535487288138,0.017278535487288138
bubbles,seen,False,1.0,0.2,0.17073871159957626,-0.029261288400423746,0.029261288400423746
bubbles,seen,False,1.0,0.3,0.2655587923728814,-0.03444120762711861,0.03444120762711861
bubbles,seen,False,1.0,0.4,0.3635344941737288,-0.03646550582627123,0.03646550582627123
bubbles,seen,False,1.0,0.5,0.45777029263771185,-0.04222970736228815,0.04222970736228815
bubbles,seen,False,1.0,0.6,0.5453141551906779,-0.05468584480932204,0.05468584480932204
bubbles,seen,False,1.0,0.7,0.6247881355932203,-0.07521186440677963,0.07521186440677963
bubbles,seen,False,1.0,0.8,0.6977150092690678,-0.10228499073093222,0.10228499073093222
bubbles,seen,False,1.0,0.9,0.7701726363877118,-0.1298273636122882,0.1298273636122882
bubbles,seen,False,1.0,0.95,0.8126191737288135,-0.13738082627118642,0.13738082627118642
bubbles,seen,False,1.0,0.99,0.8680622682733051,-0.12193773172669486,0.12193773172669486
bubbles,seen,True,1.1645390806928932,0.05,0.04765045683262712,-0.002349543167372882,0.002349543167372882
bubbles,seen,True,1.1645390806928932,0.1,0.09677817134533899,-0.003221828654661016,0.003221828654661016
bubbles,seen,True,1.1645390806928932,0.2,0.20016386387711865,0.0001638638771186418,0.0001638638771186418
bubbles,seen,True,1.1645390806928932,0.3,0.3111303297139831,0.01113032971398309,0.01113032971398309
bubbles,seen,True,1.1645390806928932,0.4,0.41966035487288134,0.019660354872881314,0.019660354872881314
bubbles,seen,True,1.1645390806928932,0.5,0.5178487486758474,0.017848748675847403,0.017848748675847403
bubbles,seen,True,1.1645390806928932,0.6,0.6041942531779662,0.0041942531779661785,0.0041942531779661785
bubbles,seen,True,1.1645390806928932,0.7,0.678125,-0.021874999999999978,0.021874999999999978
bubbles,seen,True,1.1645390806928932,0.8,0.7438716565148306,-0.056128343485169485,0.056128343485169485
bubbles,seen,True,1.1645390806928932,0.9,0.8075369107521186,-0.09246308924788138,0.09246308924788138
bubbles,seen,True,1.1645390806928932,0.95,0.8450377383474577,-0.1049622616525423,0.1049622616525423
bubbles,seen,True,1.1645390806928932,0.99,0.894047106726695,-0.09595289327330503,0.09595289327330503
bubbles,held,False,1.0,0.05,0.02681408898305085,-0.023185911016949154,0.023185911016949154
bubbles,held,False,1.0,0.1,0.05340058924788135,-0.04659941075211865,0.04659941075211865
bubbles,held,False,1.0,0.2,0.111572265625,-0.08842773437500001,0.08842773437500001
bubbles,held,False,1.0,0.3,0.19111659163135594,-0.10888340836864405,0.10888340836864405
bubbles,held,False,1.0,0.4,0.2838941671080508,-0.1161058328919492,0.1161058328919492
bubbles,held,False,1.0,0.5,0.3828166379766949,-0.1171833620233051,0.1171833620233051
bubbles,held,False,1.0,0.6,0.4764507746292373,-0.12354922537076268,0.12354922537076268
bubbles,held,False,1.0,0.7,0.5522791975635594,-0.1477208024364406,0.1477208024364406
bubbles,held,False,1.0,0.8,0.6219503111758474,-0.17804968882415262,0.17804968882415262
bubbles,held,False,1.0,0.9,0.6916876324152542,-0.2083123675847458,0.2083123675847458
bubbles,held,False,1.0,0.95,0.7332411943855932,-0.21675880561440675,0.21675880561440675
bubbles,held,False,1.0,0.99,0.7874735169491526,-0.20252648305084742,0.20252648305084742
bubbles,held,True,1.1645390806928932,0.05,0.030985169491525424,-0.01901483050847458,0.01901483050847458
bubbles,held,True,1.1645390806928932,0.1,0.06280621027542373,-0.03719378972457628,0.03719378972457628
bubbles,held,True,1.1645390806928932,0.2,0.1351132150423729,-0.06488678495762712,0.06488678495762712
bubbles,held,True,1.1645390806928932,0.3,0.23213635460805085,-0.06786364539194914,0.06786364539194914
bubbles,held,True,1.1645390806928932,0.4,0.3434230998411017,-0.056576900158898324,0.056576900158898324
bubbles,held,True,1.1645390806928932,0.5,0.4491153005826271,-0.05088469941737289,0.05088469941737289
bubbles,held,True,1.1645390806928932,0.6,0.5331907110699152,-0.06680928893008475,0.06680928893008475
bubbles,held,True,1.1645390806928932,0.7,0.6021666445974576,-0.09783335540254234,0.09783335540254234
bubbles,held,True,1.1645390806928932,0.8,0.6671452926377118,-0.13285470736228822,0.13285470736228822
bubbles,held,True,1.1645390806928932,0.9,0.7277459613347458,-0.17225403866525424,0.17225403866525424
bubbles,held,True,1.1645390806928932,0.95,0.7654594809322034,-0.18454051906779656,0.18454051906779656
bubbles,held,True,1.1645390806928932,0.99,0.809669623940678,-0.180330376059322,0.180330376059322
