held_out,split,bin,n,claimed_sigma,achieved_rmse,ratio,gap_normalised
bubbles,seen,0,100694,0.0031845201854767183,0.014789942576230982,4.64432370178773,0.6053755282766201
bubbles,seen,1,100694,0.004820035546556154,0.012274421544246192,2.546541706111709,0.388844344426843
bubbles,seen,2,100694,0.005666154797419442,0.0110328678092159,1.947152558246492,0.2799447202553857
bubbles,seen,3,100694,0.006309239476914772,0.010720338147348935,1.6991490316026483,0.23009685455497017
bubbles,seen,4,100693,0.0068743932693214075,0.010753507891331482,1.5642846532102743,0.2023468844542665
bubbles,seen,5,100693,0.007401725714950324,0.010606962297493442,1.433039091960547,0.16719527511160923
bubbles,seen,6,100693,0.007915474514377074,0.010940184867459454,1.3821262196711672,0.15777845615854408
bubbles,seen,7,100693,0.008467377071477952,0.011571125049955541,1.3665536508268246,0.16190130861632915
bubbles,seen,8,100693,0.009121195737807434,0.012770291084991114,1.4000676503474374,0.19034835175779452
bubbles,seen,9,100693,0.010064665301298296,0.016161426515719418,1.6057589628573807,0.31802634291854665
bubbles,seen,10,100693,0.011917382971072888,0.02301224819344356,1.9309816802314135,0.5787432519906774
bubbles,seen,11,100693,0.02239677653030885,0.04866770833992866,2.172978253101208,1.3703748719424276
bubbles,held,0,20139,0.003488468410433609,0.01820277464772219,5.217984658619748,0.35923364427357896
bubbles,held,1,20139,0.005120213330980512,0.015685853795894142,3.0635156744319336,0.25794852078562697
bubbles,held,2,20139,0.006042295843564435,0.014961515601589722,2.476130925883913,0.21775296545294362
bubbles,held,3,20139,0.006737165066641429,0.014461325195489068,2.146500056395121,0.18857689566137
bubbles,held,4,20139,0.00736137030944391,0.014179844069199296,1.9262506127436572,0.16646555655430323
bubbles,held,5,20139,0.00790468482086526,0.014312170801085855,1.8105934803760109,0.15643174079613703
bubbles,held,6,20139,0.008456838788125507,0.015211372057715852,1.7987066371744702,0.16490451963362138
bubbles,held,7,20139,0.009031314714138188,0.01709102527431964,1.8924183040110731,0.1967689913226758
bubbles,held,8,20138,0.009763124424276773,0.021748221361202007,2.2275882613073485,0.29260299331768763
bubbles,held,9,20138,0.011164921002666178,0.03447032196882612,3.0873771485346495,0.5689757971133104
bubbles,held,10,20138,0.01489113232749646,0.07304061670334179,4.904973986999791,1.4196558674324382
bubbles,held,11,20138,0.02596109262070547,0.10581877685868275,4.076052514611275,1.949637751819933
