step,vrmse_cnn,vrmse_litefno,hf_ratio_cnn,hf_ratio_litefno
1,0.09456551820039749,0.10471148788928986,1.10973555513342,1.1433238458275512
2,0.15157276391983032,0.16432161629199982,1.0614591900415085,1.2218605927981527
3,0.19149817526340485,0.19533054530620575,1.021007374544036,1.2595086723113709
4,0.22336071729660034,0.21214154362678528,0.9913059756833636,1.2510078161190188
5,0.24792563915252686,0.21972694993019104,0.9699774189300026,1.22583017945521
6,0.2629236876964569,0.2201560139656067,0.9432519883090178,1.200388976589436
7,0.26855242252349854,0.2164488285779953,0.9054921385543527,1.180611488853216
8,0.26699545979499817,0.2125585526227951,0.8570591012717899,1.1699160752328641
9,0.26171836256980896,0.21209408342838287,0.802860383610063,1.170677139205723
10,0.2569277882575989,0.21626918017864227,0.7495976933952625,1.1818969433298754
11,0.25615885853767395,0.22356411814689636,0.7023779810603741,1.2023862126606613
12,0.2609661817550659,0.23154766857624054,0.663763585602131,1.23252871229044
13,0.2707911431789398,0.2383095920085907,0.6343121153308839,1.2744158875699487
14,0.28405898809432983,0.2431117594242096,0.6132653005005545,1.3297651743753223
15,0.29932790994644165,0.24654445052146912,0.599135231126866,1.3989094995011626
16,0.31568509340286255,0.2499001920223236,0.5901926113127641,1.4833843109638416
17,0.3327755928039551,0.25422149896621704,0.5847704808517982,1.5783543226902663
18,0.35065537691116333,0.2605837881565094,0.581346932663278,1.6774238758118036
19,0.36959218978881836,0.2698048949241638,0.5788429629734684,1.7704123391444884
20,0.3898337185382843,0.28213539719581604,0.5765431220695569,1.8466357942590172
21,0.411416620016098,0.2972244322299957,0.5737861323173592,1.8996875709140464
22,0.4340948462486267,0.31421422958374023,0.5703929177045736,1.9288285985510818
23,0.45746317505836487,0.33208850026130676,0.566292168007434,1.937659654899691
24,0.4811652600765228,0.3500545918941498,0.5605935428367786,1.928249053402349
25,0.5049521327018738,0.36757758259773254,0.5527672352001368,1.9015127218804417
26,0.5286238789558411,0.38435906171798706,0.5428338587263788,1.861195632249834
27,0.5520355105400085,0.4003470838069916,0.5307887781773143,1.8125828545956766
28,0.5751515030860901,0.4156652092933655,0.5165009213144378,1.7608434236040602
29,0.5980358123779297,0.430484801530838,0.5000731942246749,1.7106143512575211
30,0.6207739114761353,0.4449315667152405,0.48221750793940926,1.6661138196065637
