step,vrmse
1,0.10471148788928986
2,0.16432161629199982
3,0.19533054530620575
4,0.21214154362678528
5,0.21972694993019104
6,0.2201560139656067
7,0.2164488285779953
8,0.2125585526227951
9,0.21209408342838287
10,0.21626918017864227
11,0.22356411814689636
12,0.23154766857624054
13,0.2383095920085907
14,0.2431117594242096
15,0.24654445052146912
16,0.2499001920223236
17,0.25422149896621704
18,0.2605837881565094
19,0.2698048949241638
20,0.28213539719581604
21,0.2972244322299957
22,0.31421422958374023
23,0.33208850026130676
24,0.3500545918941498
25,0.36757758259773254
26,0.38435906171798706
27,0.4003470838069916
28,0.4156652092933655
29,0.430484801530838
30,0.4449315667152405
