arm,retained_frac,vrmse
cnn,1.0,0.057575121458809254
cnn,0.75,0.14291126874543852
cnn,0.5,0.23487883048542477
cnn,0.25,0.3273593293408216
cnn,0.1,0.3705640672627142
cnn,0.05,0.3820931209345995
