arm,bits,vrmse,size_mb
cnn,32,0.01300450992154873,0.431368
cnn,16,0.013005321285040197,0.215684
cnn,8,0.015162678072386878,0.107842
cnn,6,0.027142385652257225,0.0808815
cnn,4,0.07661551293932785,0.053921
cnn,3,0.5110826280157444,0.04044075
cnn,2,0.6160088353237864,0.0269605
