dataset,cnn_params,cnn_test_vrmse,fnos_test_vrmse,improvement_pct
GS,107842,0.022675411376569952,0.024504045889313732,7.46258197933449
EMQ-O,108229,0.020477574655850386,0.5297249016062967,96.13430016339504
EMQ-P,108229,0.059474138928384615,0.4984142066075884,88.0673267053943
AS-SD,108229,0.0013716626490349881,0.009908543298176179,86.15676787437096
AM,109003,0.13114740947882333,0.13291927427053452,1.3330382681031285
RB,108100,0.028014140780128184,0.0561779790690967,50.13323504273464
TRL-2D,108100,0.06847314536571503,0.10065394267439842,31.9717205840449
VI,108616,nan,inf,nan
