step,cnn_vr_mean,cnn_vr_std,lf_vr_mean,lf_vr_std,cnn_hf_mean,cnn_hf_std,lf_hf_mean,lf_hf_std
1,0.09914800524711609,0.005820083120211879,0.11731016884247462,0.0021025974318884645,1.1158906131107915,0.010257931666421312,1.2150893852048898,0.015155734825455087
2,0.15805539985497793,0.008652265734136392,0.1830290953318278,0.004724851448792038,1.0669572666218228,0.010543011048405328,1.259485643761843,0.01949975805368565
3,0.19793109595775604,0.011680708114016355,0.22036964694658914,0.01181444436831102,1.042370690105561,0.017719136344191824,1.2914278581723608,0.03200754190243123
4,0.22751039266586304,0.015575987043111516,0.2491915076971054,0.02254300020614541,1.0224387956713294,0.02396736816686027,1.2681580151777225,0.021545516874160113
5,0.24886150161425272,0.02070679346859483,0.27007590730985004,0.0339807287903695,1.0048747820624897,0.02561345951498448,1.2017986457387628,0.016108587839867298
6,0.2610628257195155,0.025435188683805763,0.2823529938856761,0.04309714577888066,0.983007249839409,0.02858355703580996,1.1170229713446655,0.06191799725617608
7,0.26446887850761414,0.028476665947524352,0.2862352927525838,0.04887163355883793,0.9531797691033473,0.0343403449723655,1.0312967703282305,0.11514467483682742
8,0.2611354539791743,0.029429079628471255,0.2833750545978546,0.05145949826185096,0.9159768554534867,0.04280366582987639,0.960849671901934,0.1657864078916688
9,0.2543015281359355,0.02859451119058076,0.276236688097318,0.05141347520448243,0.8755559789710498,0.05329338289903982,0.9126000017632947,0.21160764858456327
10,0.24748202661673227,0.026948207656474304,0.2677420179049174,0.04966735430152604,0.8370837916888897,0.06459422982244974,0.8861420875815645,0.2521678163105086
11,0.2434285432100296,0.025829382879007785,0.2611051599184672,0.04757790713433692,0.8042168304571934,0.07569814146334698,0.8807802690650112,0.2857867099057693
12,0.24352027475833893,0.02640205801567364,0.2589946538209915,0.04643862218906023,0.7787283195699756,0.0860718139157587,0.8965910305782256,0.3116268466537409
13,0.2476822336514791,0.028957477817485405,0.26281797885894775,0.04702447610244652,0.7609189334085925,0.09550391224832308,0.9327257339760351,0.3312563516419009
14,0.2550163020690282,0.03291226936865484,0.2724469006061554,0.04923160828933675,0.7501441884703475,0.10399713137473274,0.9839795113401618,0.3523920441196738
15,0.2645858923594157,0.03748867097641597,0.286763330300649,0.052476144524803,0.7453839128724465,0.11172974008881857,1.0461798557120188,0.3794649002824975
16,0.2757779310146968,0.04210326731071982,0.3043636381626129,0.05604812562425374,0.7452381917693384,0.11883402753126321,1.114653058317827,0.4116127547950785
17,0.28838251531124115,0.046387476797273314,0.324134036898613,0.05941272700066209,0.747876895769768,0.12525419888367764,1.1823668595433332,0.4455416095859128
18,0.30249251425266266,0.050155888390401485,0.3455159068107605,0.06227449767578765,0.7514100698173481,0.13089838370588658,1.2401205453171305,0.4765752496675206
19,0.3183041165272395,0.0533780011160895,0.3683779239654541,0.06461241403471817,0.7543286342136696,0.13561870871746529,1.2785320182880275,0.5017925091596348
20,0.33591461181640625,0.056129208825991886,0.3926439583301544,0.06656531991147846,0.7556674552910763,0.13919615930019347,1.2934203316241195,0.5221329219188577
21,0.35517706473668414,0.05854812365896167,0.4181181689103444,0.06830462815262338,0.7551731922887646,0.14168688705068355,1.288664429780858,0.5392832081859247
22,0.37567658225695294,0.06080498923562605,0.4444165726502736,0.06997639801292128,0.7539452979419229,0.14375740457316524,1.2730422234342886,0.5532388871420902
23,0.3968597849210103,0.06307192434603241,0.47102609276771545,0.07163409130451236,0.7534347416622454,0.14631086523395906,1.2532299846249233,0.5642698329224894
24,0.418241947889328,0.06547248994499943,0.49747296174367267,0.07334209084096667,0.7532929062745065,0.14977621323036833,1.2307971215902616,0.5705083081069284
25,0.4394979079564412,0.06805210516134294,0.5233727792898814,0.07516669361373898,0.7524513976764019,0.15398632823257621,1.2050718466813743,0.5711113098287719
26,0.4603924850622813,0.07080417294444317,0.5484659373760223,0.07715581648367789,0.7504168668291573,0.1586962384495205,1.1776669475395474,0.5653839887963455
27,0.4807613591353099,0.07371610209334258,0.5725886225700378,0.0793249446815144,0.7466893221861892,0.16361196414277232,1.1497125957461032,0.5536548674510127
28,0.500557561715444,0.07679546924038157,0.5956800480683645,0.08170768177017113,0.7407306428846421,0.1684803836233371,1.1209217272403642,0.5371123607979879
29,0.5198188920815786,0.08006077410596169,0.6177548368771871,0.08436607612717549,0.7327072459020235,0.17333472007863435,1.0912013156626523,0.516723822497864
30,0.53860870997111,0.08350934416377279,0.6388555566469828,0.08735389823850934,0.7236384558785719,0.17841770689932468,1.0616903701491485,0.4931029357218565
