model,seed,onestep,roll_6_12,roll_13_30,hf_final,train_s
cnn,0,0.010550023088136972,0.2618446350097656,0.4579317569732666,0.4826112319046573,1803
litefno,0,0.013755404311469046,0.20407959818840027,0.3699693977832794,1.7539035200254383,5028
cnn,1,0.01033175050012641,0.21516366302967072,0.3122026324272156,0.9087951276661862,1802
litefno,1,0.012863872998978123,0.3179140090942383,0.5301576256752014,0.6423958578167249,5027
cnn,2,0.010524658075833724,0.28021496534347534,0.4238368272781372,0.7795090080648719,1802
litefno,2,0.012941178684201787,0.294875830411911,0.5043340921401978,0.7887717326052822,5023
